_mj,_mi,idn,country,year,reg_4state,ocbu,ocbu_lag,se_ptrade_i_ocbu,se_high_equity_ocbu,se_eu_ocbu,se_basel_ocbu,se_easia_ocbu,se_cbss_ocbu,cbocb,cbocb_lag,se_ptrade_i_cbocb,se_high_equity_cbocb,se_eu_cbocb,se_basel_cbocb,se_easia_cbocb,se_cbss_cbocb,e_asia,cbss,imf_2,basel_member,gdp_2005_nse,log_gdp,gdp_change,fdi,portfolio_invest,post_warsaw,crisis_base,crisis6,checks,polar,cbg_time_in_office,eu,udems_mean,income_diversity,asset_diversity,dbagdp,netintmargin,concentration,inslife,insnonlife,stmktcap,pr_bur,pr_corrupt,pr_invest,pr_law_order,pr_socio_econ,inf_rr,crrncy_crisis,infltn_crisis,stck_mrkt_crash,svrgn_debt_crisis_dmstc,svrgn_debt_crisis_extrnl,cent_gov_debt_gdp,gen_gov_debt_gdp,ext_debt_gdp,ext_debt_gnp,cent_gov_debt_exports,percent_se_cbss_ocbu,percent_se_eu_ocbu,percent_se_basel_ocbu,NoEvent,event,end,begin
1,1417,74,"Switzerland",1988,2,0,0,.0004663,0,0,0,0,0,0,0,.5927548,.125,0,.3636364,0,0,0,0,0,1,31.52262,10.35846,3.278573,4.052484,42.5545,0,0,0,3,0,.5,0,2.010991,.451617,.3653803,1.547966,.0108501,.9517033,.046523,.034698,1.347376,4,6,9.583333,6,9.583333,1.872,0,0,0,0,0,13.89757,33.323,59.30925,87.34995,199.2527,0,0,0,0,,,
1,1418,74,"Switzerland",1989,2,0,0,.0103472,0,0,0,0,0,0,0,.5974317,.5714286,0,.3636364,0,0,0,0,0,1,32.57035,10.39116,4.550602,24.97181,53.08923,0,0,0,3,2,1,0,1.565761,.451617,.3653803,1.597348,.0137645,.9389171,.046175,.034672,.8476964,4,6,10,6,10,3.155,0,0,0,0,0,12.54703,30.995,138.4986,103.2616,108.5624,0,0,0,1,0,2,1
1,1419,74,"Switzerland",1990,2,0,0,.0099168,0,0,0,0,0,0,0,.5945233,.5714286,0,.3636364,0,0,0,0,0,1,33.47988,10.4187,3.797695,55.44796,-15.78654,0,0,0,3,0,2,0,2.015195,.451617,.3653803,1.637162,.0208091,.9347028,.043388,.034267,.7070165,4,6,10,6,9.583333,5.404,0,0,0,0,0,12.25927,32.176,228.203,103.3415,224.1743,0,0,0,1,0,3,2
1,1420,74,"Switzerland",1991,2,0,0,.0101918,0,0,0,0,0,0,0,.6014854,0,0,.3636364,0,0,0,0,0,1,32.73392,10.39617,-.9461872,28.38789,29.50505,0,0,0,3,2,3,0,2.016857,.451617,.3653803,1.673787,.0207599,.9064213,.046193,.034282,.6991327,4,6,10.08333,6,9,5.86,0,0,0,0,0,13.16186,34.341,177.6661,101.3545,46.88051,0,0,0,1,0,4,3
1,1421,74,"Switzerland",1992,2,0,0,.0266908,0,0,.0909091,0,0,0,0,.6129596,.2857143,0,.3636364,0,0,0,0,0,1,32.40914,10.3862,.0998,11.28488,18.09107,0,0,0,3,0,4,0,2.005414,.451617,.3653803,1.686029,.0195867,.7893952,.048466,.035248,.7412952,4,6,8.333333,6,8.583333,4.037,0,0,0,0,0,15.66765,39.528,204.8827,95.62252,301.9071,0,0,9.09091,1,0,5,4
1,1422,74,"Switzerland",1993,2,0,0,.0256063,0,0,.0909091,0,0,0,0,.6268291,.2857143,0,.3636364,0,0,0,0,0,1,32.05535,10.37522,-.1852911,17.06938,79.22894,0,0,0,3,1,5,0,2.015956,.451617,.3653803,1.705684,.0175636,.7896239,.052855,.035766,.9643843,4,6,7,6,7.916667,3.293,0,0,1,0,0,19.24961,43.699,210.4868,98.62244,160.1105,0,0,9.09091,1,0,6,5
1,1423,74,"Switzerland",1994,2,0,0,.0257574,.1428571,0,.0909091,0,0,0,0,.623948,.4285714,0,.3636364,0,0,0,0,0,1,32.17735,10.37902,1.190817,36.82699,-15.72722,0,0,0,3,1,6,0,2.010031,.451617,.3653803,1.715394,.020483,.7935051,.057351,.035899,1.036855,4,6,7,6,7,.852,0,0,0,0,0,21.04383,46.294,109.6512,112.9783,170.2669,0,0,9.09091,1,0,7,6
1,1424,74,"Switzerland",1995,2,0,0,.0273287,0,0,.0909091,0,0,0,0,.6187243,.375,0,.3636364,0,0,0,0,0,1,32.07451,10.37582,.3502499,41.58248,58.51315,0,0,0,3,2,7,0,2.003304,.451617,.3653803,1.761591,.0210531,.8084319,.064738,.036089,1.14303,4,6,7,6,7,1.8,0,0,1,0,0,21.98962,48.363,252.8728,107.3429,443.188,0,0,9.09091,1,0,8,7
1,1425,74,"Switzerland",1996,2,0,0,.025198,0,0,.0909091,0,0,0,0,.6172901,.125,0,.3636364,0,0,0,0,0,1,32.12551,10.37741,.6284329,43.72942,116.7709,0,0,0,4,1,.5,0,2.005962,.451617,.3653803,1.759588,.0192239,.821395,.072615,.036417,1.389373,4,5.5,6.416667,6,8.333333,.812,0,0,0,0,0,24.02376,50.803,181.3318,122.8888,15.93011,0,0,9.09091,1,0,9,8
1,1426,74,"Switzerland",1997,2,0,0,.022503,0,0,.0909091,0,0,0,0,.6191719,.5714286,0,.3636364,0,0,0,0,0,1,32.72756,10.39597,2.075668,73.06214,69.45438,0,0,0,4,0,1,0,2.002308,.451617,.3653803,1.74581,.0191545,.8252124,.081106,.035134,1.867672,4,5,5.416667,6,8.333333,.52,0,0,1,0,0,25.27403,52.421,247.826,156.1057,199.9876,0,0,9.09091,1,0,10,9
1,1427,74,"Switzerland",1998,2,0,0,.1178351,.1428571,0,.1818182,0,0,0,0,.5457582,.2857143,0,.2727273,0,0,0,0,0,1,33.48716,10.41892,2.638583,96.49104,86.32146,0,0,0,4,0,2,0,2.001876,.451617,.3653803,1.728146,.0193367,.8788449,.089031,.046448,2.353572,4,5,6,6,8,.018,0,0,0,0,0,27.73343,55.308,206.7268,170.0803,65.46466,0,0,18.18182,1,0,11,10
1,1428,74,"Switzerland",1999,2,0,0,.109583,.1428571,0,.1818182,0,0,0,0,.5199371,.2857143,0,.2727273,0,0,0,0,0,1,33.78368,10.42773,1.311135,124.2601,55.62135,0,0,0,4,0,3,0,2.012938,.451617,.3653803,1.760496,.0175911,.8743255,.078766,.046728,2.617069,4,5,6,6,8.083333,.806,1,0,0,0,0,25.37906,52.304,245.3618,192.4988,18.84304,0,0,18.18182,1,0,12,11
1,1429,74,"Switzerland",2000,2,0,0,.111645,.1428571,0,.1818182,0,0,0,0,.517895,.2857143,0,.2727273,0,0,0,0,0,1,34.77837,10.45675,3.581911,197.6442,87.76926,0,0,0,3,0,4,0,2.036263,.451617,.3653803,1.72911,.0227355,.8453638,.075745,.046053,3.034418,4,5,8.083333,6,9,1.559,0,0,0,0,0,25.61419,51.764,194.9165,238.6423,13.88298,0,0,18.18182,1,0,13,12
1,1430,74,"Switzerland",2001,2,0,0,.1464203,.25,0,.25,0,0,0,0,.5185176,.25,0,.3333333,0,0,0,0,0,1,34.9573,10.46188,1.152272,93.92398,18.39963,0,0,0,3,0,.5,0,2.003751,.451617,.3653803,1.68314,.0214422,.8552049,.078454,.047008,2.862885,4,4.875,11.04167,5.833333,10.33333,.989,0,0,0,0,0,24.8217,50.993,239.1465,226.0764,312.3629,0,0,25,1,0,14,13
1,1431,74,"Switzerland",2002,2,0,0,.1371747,0,0,.25,0,0,0,0,.5291516,0,0,.3333333,0,0,0,0,0,1,34.84765,10.45874,.443122,67.85448,56.7879,0,0,0,3,0,1,0,2.00834,.451617,.3653803,1.664384,.0184523,.8451959,.08035,.047692,2.147769,4,4.5,11.54167,5,10.5,.643,0,0,0,0,0,28.17818,54.809,246.8568,240.8593,409.1875,0,0,25,1,0,15,14
1,1432,74,"Switzerland",2003,2,0,0,.4527452,.5,0,.4166667,0,0,0,0,.2747209,.125,0,.25,0,0,0,0,0,1,34.52159,10.44934,-.1977766,174.7086,-44.2764,0,0,0,3,0,2,0,2.012444,.451617,.3653803,1.68165,.0158344,.8424193,.074753,.049825,1.994044,4,4.5,11.5,5,10.5,.638,0,0,0,0,0,28.26188,55.089,211.3623,248.4621,37.46901,0,0,41.66667,1,0,16,15
1,1433,74,"Switzerland",2004,2,0,0,.4583245,.125,0,.4166667,0,0,0,0,.2870065,.25,0,.25,0,0,0,0,0,1,35.15342,10.46748,2.532688,18.56072,-27.89104,0,0,0,3,2,3,0,2.00043,.451617,.3653803,1.684247,.0156253,.8463315,.067039,.049969,2.174949,4,4.5,11.5,5,10.5,.803,0,0,0,0,0,28.06622,54.586,189.2893,249.8537,91.39321,0,0,41.66667,1,0,17,16
1,1434,74,"Switzerland",2005,2,0,0,.4609455,.25,0,.4166667,0,0,0,0,.2857066,.125,0,.25,0,0,0,0,0,1,35.77435,10.48499,2.640645,-5.250489,39.50906,0,0,0,3,0,4,0,2.014626,.451617,.3653803,1.718631,.0160632,.855978,.062161,.050091,2.431013,4,4.5,11.95833,5,10.5,1.172,0,0,0,0,0,28.10248,52.609,202.3563,238.1213,46.22529,0,0,41.66667,1,0,18,17
